time-ns,LogName,queueDelay,queueDelayMax,queueDelayMinAvg,sRtt,cwnd,bytesInFlightLog,rateTransmitted,isInFastStart,curMss,rtpQueueDelay,bytes,size,targetBitrate,rateRtp,packetsRtp,rateTransmittedStream,rateAcked,rateLost,rateCe,packetsCe,hiSeqTx,hiSeqAck,SeqDiff,packetetsRtpCleared,packetsLost,rtpqueue_full,force_idr,rate_updates
58822371088504, Log, 0.000, 0.001, 0.000, 0.000,   8338,   7767,    710, 0, 0,0.006, 0,0,  9000,    762, 7406,    710,      0,     0,     0, 0, 10179, 10179, 0, 0,0,0,0,14
58823371381330, Log, 0.000, 0.001, 0.000, 0.001,   8065,  12965,    972, 0, 0,0.008, 0,0,  9000,   1127, 7576,    972,   1658,     0,     0, 0, 10349, 10349, 0, 0,0,0,0,14
58824372098671, Log, 0.000, 0.001, 0.000, 0.001,   9185,  10670,    951, 0, 0,0.008, 0,0,  9000,   1021, 7749,    951,      0,     0,     0, 0, 10522, 10522, 0, 0,0,0,0,14
58825372813598, Log, 0.000, 0.001, 0.000, 0.000,   9574,  13575,    924, 0, 0,0.008, 0,0,  9000,   1043, 7922,    924,      0,     0,     0, 0, 10695, 10695, 0, 0,0,0,0,14
58826373080571, Log, 0.000, 0.001, 0.000, 0.000,   9851,  12682,    909, 0, 0,0.008, 0,0,  9000,    985, 8099,    909,      0,     0,     0, 0, 10872, 10872, 0, 0,0,0,0,14
58827374293571, Log, 0.000, 0.001, 0.000, 0.000,  10015,   8193,    632, 0, 0,0.006, 0,0,  9000,    686, 8247,    632,      0,     0,     0, 0, 11020, 11020, 0, 0,0,0,0,14
58828375089652, Log, 0.000, 0.001, 0.000, 0.000,   8454,   6574,    707, 0, 0,0.006, 0,0,  9000,    799, 8394,    707,      0,     0,     0, 0, 11167, 11167, 0, 0,0,0,0,14
58829375567387, Log, 0.000, 0.001, 0.000, 0.000,   6873,  10833,    767, 0, 0,0.006, 0,0,  9000,    859, 8551,    767,      0,     0,     0, 0, 11324, 11324, 0, 0,0,0,0,14
58830376211591, Log, 0.000, 0.001, 0.000, 0.000,   7068,  10342,    752, 0, 0,0.006, 0,0,  9000,    851, 8708,    752,      0,     0,     0, 0, 11481, 11481, 0, 0,0,0,0,14
58831377189868, Log, 0.000, 0.001, 0.000, 0.000,   7263,   7130,    704, 0, 0,0.006, 0,0,  9000,    758, 8865,    704,      0,     0,     0, 0, 11638, 11638, 0, 0,0,0,0,15
58832378094709, Log, 0.000, 0.001, 0.000, 0.000,   7449,   8591,    675, 0, 0,0.006, 0,0,  9000,    765, 9012,    675,      0,     0,     0, 0, 11785, 11785, 0, 0,0,0,0,16
58833379275027, Log, 0.000, 0.001, 0.000, 0.000,   7636,   9217,    691, 0, 0,0.006, 0,0,  9000,    781, 9162,    691,      0,     0,     0, 0, 11935, 11935, 0, 0,0,0,0,16
58834380218796, Log, 0.000, 0.000, 0.000, 0.000,   7832,   7216,    730, 0, 0,0.006, 0,0,  9000,    805, 9317,    730,      0,     0,     0, 0, 12090, 12090, 0, 0,0,0,0,16
58835381204296, Log, 0.000, 0.001, 0.000, 0.000,   8009,   9149,    660, 0, 0,0.006, 0,0,  9000,    753, 9460,    660,      0,     0,     0, 0, 12233, 12233, 0, 0,0,0,0,16
58836381683149, Log, 0.000, 0.001, 0.000, 0.000,   8197,   8994,    868, 0, 0,0.006, 6856,12,  9000,    810, 9622,    868,   1626,     0,     0, 0, 12383, 12379, 4, 0,0,0,0,16
58837382089798, Log, 0.000, 0.001, 0.000, 0.000,   8424,  10915,   1003, 0, 0,0.006, 0,0,  9000,    921, 9763,   1003,   1851,     0,     0, 0, 12536, 12536, 0, 0,0,0,0,16
58838383354482, Log, 0.000, 0.001, 0.000, 0.000,   8705,  12151,   1089, 0, 0,0.008, 0,0,  9000,    970, 9927,   1089,   1983,     0,     0, 0, 12700, 12700, 0, 0,0,0,0,16
58839384158714, Log, 0.000, 0.001, 0.000, 0.000,   8954,  12249,    995, 0, 0,0.000, 2793,8,  9000,    935, 10105,    995,   1867,     0,     0, 0, 12870, 12866, 4, 0,0,0,0,16
58840385169814, Log, 0.000, 0.001, 0.000, 0.000,   9152,  11488,    834, 0, 0,0.000, 663,7,  9000,    827, 10256,    834,   1651,     0,     0, 0, 13022, 13018, 4, 0,0,0,0,16
58841386112834, Log, 0.000, 0.001, 0.000, 0.000,   9309,   9536,    769, 0, 0,0.006, 0,0,  9000,    757, 10391,    769,   1512,     0,     0, 0, 13164, 13164, 0, 0,0,0,0,16
58842387080936, Log, 0.000, 0.001, 0.000, 0.000,   9473,  12186,    789, 0, 0,0.006, 0,0,  9000,    839, 10542,    789,      0,     0,     0, 0, 13315, 13315, 0, 0,0,0,0,16
58843388121319, Log, 0.000, 0.000, 0.000, 0.000,   9667,  11381,    851, 0, 0,0.006, 0,0,  9000,    858, 10709,    851,      0,     0,     0, 0, 13482, 13482, 0, 0,0,0,0,16
