timestamp,scan_id,num_points,quant_bits,comp_level,raw_size_bytes,compressed_size_bytes,encode_time_s,bits_per_scan,bits_per_second
2025-10-10 11:44:08,279,32149,19,0,385788,119729,0.012308,957832,9578320.0
2025-10-10 11:44:08,279,32149,19,1,385788,119729,0.011180,957832,9578320.0
2025-10-10 11:44:08,279,32149,19,2,385788,119729,0.012727,957832,9578320.0
2025-10-10 11:44:08,279,32149,19,3,385788,119729,0.009562,957832,9578320.0
2025-10-10 11:44:08,279,32149,19,4,385788,119729,0.009520,957832,9578320.0
2025-10-10 11:44:08,279,32149,19,5,385788,119729,0.011195,957832,9578320.0
2025-10-10 11:44:08,279,32149,19,6,385788,119729,0.010415,957832,9578320.0
2025-10-10 11:44:08,279,32149,19,7,385788,119729,0.010409,957832,9578320.0
2025-10-10 11:44:08,279,32149,19,8,385788,119729,0.011985,957832,9578320.0
2025-10-10 11:44:08,279,32149,19,9,385788,119729,0.010465,957832,9578320.0
2025-10-10 11:44:08,279,32149,20,0,385788,131782,0.011766,1054256,10542560.0
2025-10-10 11:44:08,279,32149,20,1,385788,131782,0.011860,1054256,10542560.0
2025-10-10 11:44:08,279,32149,20,2,385788,131782,0.011875,1054256,10542560.0
2025-10-10 11:44:08,279,32149,20,3,385788,131782,0.013806,1054256,10542560.0
2025-10-10 11:44:08,279,32149,20,4,385788,131782,0.011683,1054256,10542560.0
2025-10-10 11:44:08,279,32149,20,5,385788,131782,0.011666,1054256,10542560.0
2025-10-10 11:44:08,279,32149,20,6,385788,131782,0.011698,1054256,10542560.0
2025-10-10 11:44:08,279,32149,20,7,385788,131782,0.012069,1054256,10542560.0
2025-10-10 11:44:08,279,32149,20,8,385788,131782,0.012442,1054256,10542560.0
2025-10-10 11:44:08,279,32149,20,9,385788,131782,0.011530,1054256,10542560.0
2025-10-10 11:44:08,279,32149,21,0,385788,143835,0.012844,1150680,11506800.0
2025-10-10 11:44:08,279,32149,21,1,385788,143835,0.013538,1150680,11506800.0
